2024-07-02 23:44:58,107 FIX Engine listening for connections
2024-07-02 23:51:07,479 Connected by ('127.0.0.1', 62570)
2024-07-02 23:51:13,499 Connected by ('127.0.0.1', 62588)
2024-07-02 23:51:13,501 Connected by ('127.0.0.1', 62589)
2024-07-02 23:51:18,518 Connected by ('127.0.0.1', 62604)
2024-07-02 23:51:18,518 Connected by ('127.0.0.1', 62605)
2024-07-02 23:51:23,557 Connected by ('127.0.0.1', 62621)
2024-07-02 23:51:23,557 Connected by ('127.0.0.1', 62620)
2024-07-02 23:51:29,569 Connected by ('127.0.0.1', 62638)
2024-07-02 23:51:29,570 Connected by ('127.0.0.1', 62639)
2024-07-02 23:51:34,615 Connected by ('127.0.0.1', 62655)
2024-07-02 23:51:34,617 Connected by ('127.0.0.1', 62656)
2024-07-02 23:51:39,635 Connected by ('127.0.0.1', 62671)
2024-07-02 23:51:39,635 Connected by ('127.0.0.1', 62672)
2024-07-02 23:51:45,640 Connected by ('127.0.0.1', 62688)
2024-07-02 23:51:45,641 Connected by ('127.0.0.1', 62689)
2024-07-02 23:51:51,668 Connected by ('127.0.0.1', 62706)
2024-07-02 23:51:51,669 Connected by ('127.0.0.1', 62707)
2024-07-02 23:51:57,683 Connected by ('127.0.0.1', 62724)
2024-07-02 23:51:57,683 Connected by ('127.0.0.1', 62725)
2024-07-02 23:52:03,704 Connected by ('127.0.0.1', 62742)
2024-07-02 23:52:03,705 Connected by ('127.0.0.1', 62743)
2024-07-02 23:52:09,735 Connected by ('127.0.0.1', 62760)
2024-07-02 23:52:09,735 Connected by ('127.0.0.1', 62761)
2024-07-02 23:52:14,810 Connected by ('127.0.0.1', 62776)
2024-07-02 23:52:14,811 Connected by ('127.0.0.1', 62777)
2024-07-02 23:52:20,827 Connected by ('127.0.0.1', 62794)
2024-07-02 23:52:20,827 Connected by ('127.0.0.1', 62795)
2024-07-02 23:52:25,848 Connected by ('127.0.0.1', 62810)
2024-07-02 23:52:25,849 Connected by ('127.0.0.1', 62811)
2024-07-02 23:52:30,885 Connected by ('127.0.0.1', 62826)
2024-07-02 23:52:30,885 Connected by ('127.0.0.1', 62827)
2024-07-02 23:52:36,917 Connected by ('127.0.0.1', 62844)
2024-07-02 23:52:36,918 Connected by ('127.0.0.1', 62845)
2024-07-02 23:52:42,923 Connected by ('127.0.0.1', 62862)
2024-07-02 23:52:42,924 Connected by ('127.0.0.1', 62863)
2024-07-02 23:52:48,947 Connected by ('127.0.0.1', 62880)
2024-07-02 23:52:48,948 Connected by ('127.0.0.1', 62881)
2024-07-02 23:52:54,966 Connected by ('127.0.0.1', 62898)
2024-07-02 23:52:54,968 Connected by ('127.0.0.1', 62899)
2024-07-02 23:53:00,014 Connected by ('127.0.0.1', 62914)
2024-07-02 23:53:00,014 Connected by ('127.0.0.1', 62915)
2024-07-02 23:53:06,031 Connected by ('127.0.0.1', 62932)
2024-07-02 23:53:06,031 Connected by ('127.0.0.1', 62933)
2024-07-02 23:53:12,052 Connected by ('127.0.0.1', 62950)
2024-07-02 23:53:12,052 Connected by ('127.0.0.1', 62951)
2024-07-02 23:53:18,061 Connected by ('127.0.0.1', 62967)
2024-07-02 23:53:18,062 Connected by ('127.0.0.1', 62968)
2024-07-02 23:53:23,079 Connected by ('127.0.0.1', 62983)
2024-07-02 23:53:23,079 Connected by ('127.0.0.1', 62984)
2024-07-02 23:53:29,084 Connected by ('127.0.0.1', 63001)
2024-07-02 23:53:29,084 Connected by ('127.0.0.1', 63002)
2024-07-02 23:53:34,127 Connected by ('127.0.0.1', 63017)
2024-07-02 23:53:34,127 Connected by ('127.0.0.1', 63018)
2024-07-02 23:53:40,146 Connected by ('127.0.0.1', 63035)
2024-07-02 23:53:40,146 Connected by ('127.0.0.1', 63036)
2024-07-02 23:53:46,158 Connected by ('127.0.0.1', 63054)
2024-07-02 23:53:46,158 Connected by ('127.0.0.1', 63055)
2024-07-02 23:53:52,175 Connected by ('127.0.0.1', 63072)
2024-07-02 23:53:52,175 Connected by ('127.0.0.1', 63073)
2024-07-02 23:53:57,226 Connected by ('127.0.0.1', 63088)
2024-07-02 23:53:57,227 Connected by ('127.0.0.1', 63089)
2024-07-02 23:54:03,241 Connected by ('127.0.0.1', 63106)
2024-07-02 23:54:03,241 Connected by ('127.0.0.1', 63107)
2024-07-02 23:54:09,265 Connected by ('127.0.0.1', 63124)
2024-07-02 23:54:09,266 Connected by ('127.0.0.1', 63125)
2024-07-02 23:54:15,285 Connected by ('127.0.0.1', 63143)
2024-07-02 23:54:15,286 Connected by ('127.0.0.1', 63144)
2024-07-02 23:54:20,324 Connected by ('127.0.0.1', 63159)
2024-07-02 23:54:20,324 Connected by ('127.0.0.1', 63160)
2024-07-02 23:54:25,345 Connected by ('127.0.0.1', 63175)
2024-07-02 23:54:25,345 Connected by ('127.0.0.1', 63176)
2024-07-02 23:54:31,359 Connected by ('127.0.0.1', 63193)
2024-07-02 23:54:31,360 Connected by ('127.0.0.1', 63194)
2024-07-02 23:54:36,386 Connected by ('127.0.0.1', 63208)
2024-07-02 23:54:36,387 Connected by ('127.0.0.1', 63209)
2024-07-02 23:54:42,400 Connected by ('127.0.0.1', 63226)
2024-07-02 23:54:42,401 Connected by ('127.0.0.1', 63227)
2024-07-02 23:54:48,435 Connected by ('127.0.0.1', 63244)
2024-07-02 23:54:48,435 Connected by ('127.0.0.1', 63245)
2024-07-02 23:54:54,462 Connected by ('127.0.0.1', 63262)
2024-07-02 23:54:54,462 Connected by ('127.0.0.1', 63263)
2024-07-02 23:55:00,451 Connected by ('127.0.0.1', 63280)
2024-07-02 23:55:00,451 Connected by ('127.0.0.1', 63281)
2024-07-02 23:55:06,469 Connected by ('127.0.0.1', 63298)
2024-07-02 23:55:06,470 Connected by ('127.0.0.1', 63299)
2024-07-02 23:55:12,496 Connected by ('127.0.0.1', 63322)
2024-07-02 23:55:12,497 Connected by ('127.0.0.1', 63324)
2024-07-02 23:55:17,513 Connected by ('127.0.0.1', 63338)
2024-07-02 23:55:17,513 Connected by ('127.0.0.1', 63339)
2024-07-02 23:55:23,537 Connected by ('127.0.0.1', 63356)
2024-07-02 23:55:23,538 Connected by ('127.0.0.1', 63357)
2024-07-02 23:55:29,556 Connected by ('127.0.0.1', 63374)
2024-07-02 23:55:29,556 Connected by ('127.0.0.1', 63375)
2024-07-02 23:55:35,577 Connected by ('127.0.0.1', 63392)
2024-07-02 23:55:35,578 Connected by ('127.0.0.1', 63393)
2024-07-02 23:55:40,611 Connected by ('127.0.0.1', 63408)
2024-07-02 23:55:40,612 Connected by ('127.0.0.1', 63409)
2024-07-02 23:55:45,649 Connected by ('127.0.0.1', 63424)
2024-07-02 23:55:45,650 Connected by ('127.0.0.1', 63425)
2024-07-02 23:55:51,675 Connected by ('127.0.0.1', 63442)
2024-07-02 23:55:51,675 Connected by ('127.0.0.1', 63443)
2024-07-02 23:55:56,709 Connected by ('127.0.0.1', 63458)
2024-07-02 23:55:56,709 Connected by ('127.0.0.1', 63459)
2024-07-02 23:56:01,740 Connected by ('127.0.0.1', 63474)
2024-07-02 23:56:01,741 Connected by ('127.0.0.1', 63475)
2024-07-02 23:56:07,753 Connected by ('127.0.0.1', 63491)
2024-07-02 23:56:07,753 Connected by ('127.0.0.1', 63492)
2024-07-02 23:56:12,806 Connected by ('127.0.0.1', 63507)
2024-07-02 23:56:12,806 Connected by ('127.0.0.1', 63508)
2024-07-02 23:56:17,834 Connected by ('127.0.0.1', 63523)
2024-07-02 23:56:17,835 Connected by ('127.0.0.1', 63524)
2024-07-02 23:56:22,852 Connected by ('127.0.0.1', 63539)
2024-07-02 23:56:22,852 Connected by ('127.0.0.1', 63540)
2024-07-02 23:56:28,875 Connected by ('127.0.0.1', 63557)
2024-07-02 23:56:28,875 Connected by ('127.0.0.1', 63558)
2024-07-02 23:56:34,907 Connected by ('127.0.0.1', 63575)
2024-07-02 23:56:34,907 Connected by ('127.0.0.1', 63576)
2024-07-02 23:56:40,915 Connected by ('127.0.0.1', 63593)
2024-07-02 23:56:40,915 Connected by ('127.0.0.1', 63594)
2024-07-02 23:56:46,935 Connected by ('127.0.0.1', 63611)
2024-07-02 23:56:46,936 Connected by ('127.0.0.1', 63612)
