2024-06-11 18:53:02,555 Market Simulator listening for connections
2024-06-11 19:00:00,499 Connected by ('127.0.0.1', 56314)
2024-06-11 19:00:00,500 Connected by ('127.0.0.1', 56315)
2024-06-11 19:00:00,501 Connected by ('127.0.0.1', 56316)
2024-06-11 19:00:05,505 Connected by ('127.0.0.1', 56325)
2024-06-11 19:00:05,506 Connected by ('127.0.0.1', 56326)
2024-06-11 19:00:05,507 Connected by ('127.0.0.1', 56327)
2024-06-11 19:00:10,511 Connected by ('127.0.0.1', 56331)
2024-06-11 19:00:10,511 Connected by ('127.0.0.1', 56332)
2024-06-11 19:00:10,512 Connected by ('127.0.0.1', 56333)
2024-06-11 19:00:15,521 Connected by ('127.0.0.1', 56337)
2024-06-11 19:00:15,521 Connected by ('127.0.0.1', 56338)
2024-06-11 19:00:15,522 Connected by ('127.0.0.1', 56339)
2024-06-11 19:00:20,525 Connected by ('127.0.0.1', 56346)
2024-06-11 19:00:20,526 Connected by ('127.0.0.1', 56347)
2024-06-11 19:00:20,526 Connected by ('127.0.0.1', 56348)
2024-06-11 19:00:25,533 Connected by ('127.0.0.1', 56352)
2024-06-11 19:00:25,534 Connected by ('127.0.0.1', 56353)
2024-06-11 19:00:25,535 Connected by ('127.0.0.1', 56354)
2024-06-11 19:00:30,543 Connected by ('127.0.0.1', 56358)
2024-06-11 19:00:30,543 Connected by ('127.0.0.1', 56359)
2024-06-11 19:00:30,544 Connected by ('127.0.0.1', 56360)
2024-06-11 19:00:35,549 Connected by ('127.0.0.1', 56365)
2024-06-11 19:00:35,550 Connected by ('127.0.0.1', 56366)
2024-06-11 19:00:35,551 Connected by ('127.0.0.1', 56367)
2024-06-11 19:00:40,556 Connected by ('127.0.0.1', 56371)
2024-06-11 19:00:40,557 Connected by ('127.0.0.1', 56372)
2024-06-11 19:00:40,557 Connected by ('127.0.0.1', 56373)
2024-06-11 19:00:45,561 Connected by ('127.0.0.1', 56377)
2024-06-11 19:00:45,561 Connected by ('127.0.0.1', 56378)
2024-06-11 19:00:45,562 Connected by ('127.0.0.1', 56379)
2024-06-11 19:00:50,573 Connected by ('127.0.0.1', 56387)
2024-06-11 19:00:50,574 Connected by ('127.0.0.1', 56388)
2024-06-11 19:00:50,574 Connected by ('127.0.0.1', 56389)
2024-06-11 19:00:55,587 Connected by ('127.0.0.1', 56393)
2024-06-11 19:00:55,588 Connected by ('127.0.0.1', 56394)
2024-06-11 19:00:55,589 Connected by ('127.0.0.1', 56395)
2024-06-11 19:01:00,595 Connected by ('127.0.0.1', 56399)
2024-06-11 19:01:00,596 Connected by ('127.0.0.1', 56400)
2024-06-11 19:01:00,596 Connected by ('127.0.0.1', 56401)
2024-06-11 19:01:05,600 Connected by ('127.0.0.1', 56405)
2024-06-11 19:01:05,601 Connected by ('127.0.0.1', 56406)
2024-06-11 19:01:05,601 Connected by ('127.0.0.1', 56407)
2024-06-11 19:01:10,618 Connected by ('127.0.0.1', 56411)
2024-06-11 19:01:10,619 Connected by ('127.0.0.1', 56412)
2024-06-11 19:01:10,620 Connected by ('127.0.0.1', 56413)
2024-06-11 19:01:15,630 Connected by ('127.0.0.1', 56417)
2024-06-11 19:01:15,631 Connected by ('127.0.0.1', 56418)
2024-06-11 19:01:15,631 Connected by ('127.0.0.1', 56419)
2024-06-11 19:01:20,641 Connected by ('127.0.0.1', 56424)
2024-06-11 19:01:20,641 Connected by ('127.0.0.1', 56425)
2024-06-11 19:01:20,642 Connected by ('127.0.0.1', 56426)
2024-06-11 19:01:25,645 Connected by ('127.0.0.1', 56430)
2024-06-11 19:01:25,646 Connected by ('127.0.0.1', 56431)
2024-06-11 19:01:25,646 Connected by ('127.0.0.1', 56432)
2024-06-11 19:01:30,657 Connected by ('127.0.0.1', 56436)
2024-06-11 19:01:30,658 Connected by ('127.0.0.1', 56437)
2024-06-11 19:01:30,659 Connected by ('127.0.0.1', 56438)
2024-06-11 19:01:35,666 Connected by ('127.0.0.1', 56445)
2024-06-11 19:01:35,667 Connected by ('127.0.0.1', 56446)
2024-06-11 19:01:35,668 Connected by ('127.0.0.1', 56447)
2024-06-11 19:01:40,680 Connected by ('127.0.0.1', 56451)
2024-06-11 19:01:40,681 Connected by ('127.0.0.1', 56452)
2024-06-11 19:01:40,682 Connected by ('127.0.0.1', 56453)
2024-06-11 19:01:45,696 Connected by ('127.0.0.1', 56457)
2024-06-11 19:01:45,696 Connected by ('127.0.0.1', 56458)
2024-06-11 19:01:45,697 Connected by ('127.0.0.1', 56459)
2024-06-11 19:01:50,706 Connected by ('127.0.0.1', 56464)
2024-06-11 19:01:50,708 Connected by ('127.0.0.1', 56465)
2024-06-11 19:01:50,708 Connected by ('127.0.0.1', 56466)
2024-06-11 19:01:55,721 Connected by ('127.0.0.1', 56479)
2024-06-11 19:01:55,722 Connected by ('127.0.0.1', 56480)
2024-06-11 19:01:55,723 Connected by ('127.0.0.1', 56481)
2024-06-11 19:02:00,731 Connected by ('127.0.0.1', 56485)
2024-06-11 19:02:00,732 Connected by ('127.0.0.1', 56486)
2024-06-11 19:02:00,732 Connected by ('127.0.0.1', 56487)
2024-06-11 19:02:05,792 Connected by ('127.0.0.1', 56549)
2024-06-11 19:02:05,808 Connected by ('127.0.0.1', 56550)
2024-06-11 19:02:05,809 Connected by ('127.0.0.1', 56551)
2024-06-11 19:02:10,778 Connected by ('127.0.0.1', 56601)
2024-06-11 19:02:10,779 Connected by ('127.0.0.1', 56602)
2024-06-11 19:02:10,780 Connected by ('127.0.0.1', 56603)
2024-06-11 19:02:15,782 Connected by ('127.0.0.1', 56610)
2024-06-11 19:02:15,783 Connected by ('127.0.0.1', 56611)
2024-06-11 19:02:15,784 Connected by ('127.0.0.1', 56612)
2024-06-11 19:02:20,216 Connected by ('127.0.0.1', 56616)
2024-06-11 19:02:20,216 Received order: order red
2024-06-11 19:02:20,219 Sent fill message: fill 1 red
2024-06-11 19:02:20,223 Connected by ('127.0.0.1', 56618)
2024-06-11 19:02:20,223 Received order: fill 1 red
2024-06-11 19:02:20,225 Sent fill message: fill 1 red
2024-06-11 19:02:20,229 Connected by ('127.0.0.1', 56620)
2024-06-11 19:02:20,229 Received order: fill 1 red
2024-06-11 19:02:20,231 Sent fill message: fill 1 red
2024-06-11 19:02:20,235 Connected by ('127.0.0.1', 56622)
2024-06-11 19:02:20,235 Received order: fill 1 red
2024-06-11 19:02:20,237 Sent fill message: fill 1 red
2024-06-11 19:02:20,241 Connected by ('127.0.0.1', 56624)
2024-06-11 19:02:20,242 Received order: fill 1 red
2024-06-11 19:02:20,244 Sent fill message: fill 1 red
2024-06-11 19:02:20,247 Connected by ('127.0.0.1', 56626)
2024-06-11 19:02:20,247 Received order: fill 1 red
2024-06-11 19:02:20,250 Sent fill message: fill 1 red
2024-06-11 19:02:20,253 Connected by ('127.0.0.1', 56628)
2024-06-11 19:02:20,254 Received order: fill 1 red
2024-06-11 19:02:20,256 Sent fill message: fill 1 red
2024-06-11 19:02:20,260 Connected by ('127.0.0.1', 56630)
